,Hotel (western style),Japanese-style inn,My own pension/condominium,School dormitory/company-owned accommodation facility,Home of family/friends,Youth hostel/guest house,Capsule hotel,"Paid residential accommodation (Airbnb, Tujia, etc.)",Other,I did not stay.
Hokkaido,94.6,29.8,0.3,0.2,1.5,2.4,0.5,5.9,1.8,0.0
Aomori,95.6,35.3,0.9,0.0,3.3,3.1,1.3,7.6,10.0,0.0
Iwate,96.8,47.4,0.6,0.4,3.1,3.3,0.8,3.8,1.9,0.0
Miyagi,95.2,37.5,0.3,0.4,2.5,3.8,1.6,7.2,1.8,0.0
Akita,93.5,47.5,0.7,1.0,2.4,3.2,2.1,8.5,7.4,0.0
Yamagata,97.2,57.6,0.3,0.3,2.0,2.0,0.8,4.2,2.7,0.0
Fukushima,95.2,45.9,0.2,0.7,5.6,3.3,1.6,9.5,3.5,0.0
Ibaraki,90.2,21.5,0.4,2.0,10.2,2.0,0.5,8.3,2.0,0.0
Tochigi,91.0,38.2,0.8,0.5,6.2,6.8,2.0,11.7,4.3,0.0
Gunma,90.5,53.0,0.9,0.4,11.3,2.8,1.9,13.4,5.3,0.0
Saitama,79.5,9.6,0.8,0.4,16.3,3.9,1.1,9.5,2.1,0.0
Chiba,88.4,14.2,0.3,0.2,3.9,3.5,1.5,10.6,1.7,0.0
Tokyo,89.0,14.6,0.3,0.2,3.9,3.6,1.6,10.9,1.9,0.0
Kanagawa,88.9,26.0,0.3,0.3,5.1,4.4,1.7,11.9,3.5,0.0
Niigata,91.1,38.2,0.7,0.3,4.9,3.2,2.1,14.0,3.4,0.0
Toyama,97.7,29.5,0.3,0.5,1.9,3.3,0.7,4.2,2.9,0.0
Ishikawa,97.1,36.7,0.2,0.1,1.8,5.6,2.1,8.9,4.3,0.0
Fukui,94.1,34.2,0.0,0.6,7.2,7.1,1.9,12.2,6.2,0.0
Yamanashi,91.6,28.2,0.4,0.1,2.3,3.7,1.5,11.3,2.7,0.0
Nagano,94.3,35.3,0.8,0.1,3.3,7.0,1.9,11.4,4.9,0.0
Gifu,96.8,36.3,0.5,0.1,1.7,4.0,1.3,7.1,3.9,0.0
Shizuoka,92.3,32.4,0.4,0.4,4.1,3.3,1.0,9.7,4.4,0.0
Aichi,95.4,20.0,0.3,0.1,3.2,2.7,1.1,5.7,1.4,0.0
Mie,95.3,19.7,0.0,0.4,3.9,3.4,0.2,4.8,1.8,0.0
Shiga,89.1,16.7,2.3,0.6,3.5,4.2,0.5,14.6,1.8,0.0
Kyoto,91.7,14.3,0.2,0.1,2.3,3.9,1.3,11.1,1.7,0.0
Osaka,90.9,11.1,0.2,0.1,2.4,3.2,1.2,10.4,1.5,0.0
Hyogo,90.2,15.2,0.4,0.1,4.1,3.5,1.3,10.4,2.0,0.0
Nara,90.4,18.0,0.2,0.1,2.5,4.7,1.7,12.8,2.0,0.0
Wakayama,90.1,30.8,0.2,0.3,2.9,8.6,2.5,13.1,18.0,0.0
Tottori,93.9,25.9,0.4,0.3,2.3,3.4,1.3,8.7,7.6,0.0
Shimane,93.5,28.1,0.4,0.0,7.1,3.6,3.3,9.0,3.0,0.0
Okayama,94.2,22.3,0.5,0.2,2.6,7.4,4.3,10.1,2.3,0.0
Hiroshima,92.3,26.0,0.5,0.1,2.6,9.3,3.5,13.1,5.7,0.0
Yamaguchi,88.3,12.0,1.1,0.2,3.5,3.1,1.3,4.3,2.5,6.7
Tokushima,92.4,35.5,1.2,0.0,4.3,7.7,1.7,6.3,2.5,0.0
Kagawa,94.2,26.5,0.5,0.2,1.7,6.1,1.8,7.5,2.5,0.0
Ehime,93.1,38.6,1.4,0.2,1.7,8.0,4.0,8.0,4.5,0.0
Kochi,85.7,35.2,1.1,0.0,3.0,9.8,2.3,6.5,17.4,0.0
Fukuoka,92.9,18.4,0.3,0.1,1.7,2.5,1.3,4.8,0.6,0.3
Saga,95.5,30.8,0.5,0.2,2.5,2.3,0.5,3.5,0.8,0.0
Nagasaki,94.9,22.1,0.7,0.0,3.2,4.7,1.0,5.2,6.1,0.4
Kumamoto,95.1,30.6,0.5,0.1,3.3,2.2,0.5,6.2,1.5,0.0
Oita,94.4,40.7,0.2,0.1,1.2,1.7,0.5,5.8,0.7,0.0
Miyazaki,96.3,23.6,0.5,0.1,6.2,3.1,0.3,9.2,3.8,0.0
Kagoshima,93.9,22.9,0.8,0.0,4.3,5.1,0.9,6.7,9.1,0.0
Okinawa,93.7,6.5,0.2,0.1,1.0,2.1,0.5,6.4,1.0,0.0
Hokkaido Region,94.6,29.8,0.3,0.2,1.5,2.4,0.5,5.9,1.8,0.0
Tohoku Region,94.3,36.1,0.4,0.7,4.7,3.6,1.7,7.3,6.0,0.0
Kanto Region,88.9,14.9,0.3,0.2,4.1,3.6,1.5,10.7,1.9,0.0
Hokuriku-Shin'etsu Region,94.9,35.5,0.5,0.2,3.0,5.7,1.7,10.5,4.5,0.0
Chubu Region,94.5,27.0,0.4,0.2,3.4,3.4,1.2,7.8,3.1,0.0
Kinki Region,91.0,12.0,0.3,0.1,2.5,3.4,1.2,10.6,1.6,0.0
Chugoku Region,92.1,23.8,0.5,0.1,2.8,8.0,3.1,11.5,5.0,0.7
Shikoku Region,92.7,25.6,0.4,0.2,2.8,7.1,2.4,7.9,6.1,0.0
Kyushu Region,92.8,18.6,0.3,0.1,1.9,2.6,1.2,5.0,1.3,0.3
Okinawa Region,93.7,6.5,0.2,0.1,1.0,2.1,0.5,6.4,1.0,0.0
