Area of Visit,Means of Transportation,Percentage
Hokkaido,Airplane (within Japan),16.1267
Hokkaido,Shinkansen,11.4921
Hokkaido,Railway/monorail,56.6888
Hokkaido,Chartered buses,35.0865
Hokkaido,Long-distance buses,10.0859
Hokkaido,Suburban buses,18.8141
Hokkaido,Taxies/limousine hires,17.5931
Hokkaido,Car rental,15.4287
Hokkaido,Bicycle rental,1.3279
Hokkaido,Ships (within Japan),2.0262
Hokkaido,Other,1.0077
Hokkaido,Only by walking,0.0269
Aomori,Airplane (within Japan),10.1843
Aomori,Shinkansen,56.8417
Aomori,Railway/monorail,67.8888
Aomori,Chartered buses,26.0391
Aomori,Long-distance buses,8.9995
Aomori,Suburban buses,28.8547
Aomori,Taxies/limousine hires,25.4834
Aomori,Car rental,18.2276
Aomori,Bicycle rental,2.8889
Aomori,Ships (within Japan),18.7229
Aomori,Other,2.185
Aomori,Only by walking,0
Iwate,Airplane (within Japan),2.4721
Iwate,Shinkansen,41.5276
Iwate,Railway/monorail,50.5864
Iwate,Chartered buses,45.7647
Iwate,Long-distance buses,6.8517
Iwate,Suburban buses,17.9804
Iwate,Taxies/limousine hires,11.9909
Iwate,Car rental,17.8509
Iwate,Bicycle rental,2.9448
Iwate,Ships (within Japan),17.7219
Iwate,Other,2.3693
Iwate,Only by walking,0
Miyagi,Airplane (within Japan),6.4607
Miyagi,Shinkansen,48.6587
Miyagi,Railway/monorail,66.8969
Miyagi,Chartered buses,28.075
Miyagi,Long-distance buses,9.1455
Miyagi,Suburban buses,26.1128
Miyagi,Taxies/limousine hires,18.5594
Miyagi,Car rental,15.7068
Miyagi,Bicycle rental,2.0085
Miyagi,Ships (within Japan),11.3706
Miyagi,Other,1.8276
Miyagi,Only by walking,0
Akita,Airplane (within Japan),8.2814
Akita,Shinkansen,45.3894
Akita,Railway/monorail,57.1037
Akita,Chartered buses,36.3824
Akita,Long-distance buses,9.1957
Akita,Suburban buses,21.4342
Akita,Taxies/limousine hires,17.5272
Akita,Car rental,21.9705
Akita,Bicycle rental,3.1049
Akita,Ships (within Japan),17.7643
Akita,Other,2.5864
Akita,Only by walking,0
Yamagata,Airplane (within Japan),6.3822
Yamagata,Shinkansen,33.2965
Yamagata,Railway/monorail,52.9331
Yamagata,Chartered buses,40.351
Yamagata,Long-distance buses,9.0943
Yamagata,Suburban buses,20.4704
Yamagata,Taxies/limousine hires,17.0494
Yamagata,Car rental,19.5425
Yamagata,Bicycle rental,1.4392
Yamagata,Ships (within Japan),11.6525
Yamagata,Other,1.2132
Yamagata,Only by walking,0
Fukushima,Airplane (within Japan),2.9688
Fukushima,Shinkansen,44.3245
Fukushima,Railway/monorail,59.3562
Fukushima,Chartered buses,37.8733
Fukushima,Long-distance buses,11.4536
Fukushima,Suburban buses,22.7234
Fukushima,Taxies/limousine hires,19.7284
Fukushima,Car rental,19.4997
Fukushima,Bicycle rental,4.1869
Fukushima,Ships (within Japan),7.8492
Fukushima,Other,1.5299
Fukushima,Only by walking,0
Ibaraki,Airplane (within Japan),2.4067
Ibaraki,Shinkansen,19.4074
Ibaraki,Railway/monorail,64.2371
Ibaraki,Chartered buses,26.819
Ibaraki,Long-distance buses,10.5799
Ibaraki,Suburban buses,20.8871
Ibaraki,Taxies/limousine hires,16.9785
Ibaraki,Car rental,19.6517
Ibaraki,Bicycle rental,1.6726
Ibaraki,Ships (within Japan),0.8971
Ibaraki,Other,3.8526
Ibaraki,Only by walking,0
Tochigi,Airplane (within Japan),4.102
Tochigi,Shinkansen,52.0009
Tochigi,Railway/monorail,83.1959
Tochigi,Chartered buses,16.176
Tochigi,Long-distance buses,11.9741
Tochigi,Suburban buses,38.4076
Tochigi,Taxies/limousine hires,29.5833
Tochigi,Car rental,12.8397
Tochigi,Bicycle rental,4.646
Tochigi,Ships (within Japan),5.7577
Tochigi,Other,1.9611
Tochigi,Only by walking,0
Gunma,Airplane (within Japan),4.4169
Gunma,Shinkansen,48.6903
Gunma,Railway/monorail,76.7469
Gunma,Chartered buses,18.8267
Gunma,Long-distance buses,18.4877
Gunma,Suburban buses,27.4566
Gunma,Taxies/limousine hires,26.6296
Gunma,Car rental,19.6432
Gunma,Bicycle rental,2.516
Gunma,Ships (within Japan),2.3083
Gunma,Other,3.5374
Gunma,Only by walking,0
Saitama,Airplane (within Japan),3.9528
Saitama,Shinkansen,22.4875
Saitama,Railway/monorail,88.7657
Saitama,Chartered buses,9.1339
Saitama,Long-distance buses,9.681
Saitama,Suburban buses,24.7538
Saitama,Taxies/limousine hires,17.6691
Saitama,Car rental,6.1364
Saitama,Bicycle rental,1.3924
Saitama,Ships (within Japan),2.3735
Saitama,Other,3.5898
Saitama,Only by walking,0
Chiba,Airplane (within Japan),4.0723
Chiba,Shinkansen,34.472
Chiba,Railway/monorail,88.1581
Chiba,Chartered buses,11.526
Chiba,Long-distance buses,10.1883
Chiba,Suburban buses,21.6588
Chiba,Taxies/limousine hires,23.7508
Chiba,Car rental,4.4383
Chiba,Bicycle rental,1.5533
Chiba,Ships (within Japan),2.0362
Chiba,Other,1.2377
Chiba,Only by walking,0.0205
Tokyo,Airplane (within Japan),4.8275
Tokyo,Shinkansen,40.6873
Tokyo,Railway/monorail,90.4306
Tokyo,Chartered buses,9.7154
Tokyo,Long-distance buses,10.0122
Tokyo,Suburban buses,23.8228
Tokyo,Taxies/limousine hires,28.5561
Tokyo,Car rental,4.3288
Tokyo,Bicycle rental,1.6696
Tokyo,Ships (within Japan),2.4442
Tokyo,Other,1.0812
Tokyo,Only by walking,0.0157
Kanagawa,Airplane (within Japan),3.3171
Kanagawa,Shinkansen,41.8962
Kanagawa,Railway/monorail,90.434
Kanagawa,Chartered buses,11.2339
Kanagawa,Long-distance buses,11.67
Kanagawa,Suburban buses,30.5681
Kanagawa,Taxies/limousine hires,29.4748
Kanagawa,Car rental,5.2878
Kanagawa,Bicycle rental,2.4629
Kanagawa,Ships (within Japan),5.3138
Kanagawa,Other,1.5898
Kanagawa,Only by walking,0
Niigata,Airplane (within Japan),4.1467
Niigata,Shinkansen,69.8336
Niigata,Railway/monorail,88.8983
Niigata,Chartered buses,9.5092
Niigata,Long-distance buses,11.6108
Niigata,Suburban buses,27.9966
Niigata,Taxies/limousine hires,26.8843
Niigata,Car rental,14.1471
Niigata,Bicycle rental,3.8234
Niigata,Ships (within Japan),4.7919
Niigata,Other,2.2519
Niigata,Only by walking,0
Toyama,Airplane (within Japan),3.211
Toyama,Shinkansen,25.7754
Toyama,Railway/monorail,38.9008
Toyama,Chartered buses,55.6953
Toyama,Long-distance buses,10.8793
Toyama,Suburban buses,15.4893
Toyama,Taxies/limousine hires,10.2079
Toyama,Car rental,10.9457
Toyama,Bicycle rental,1.6433
Toyama,Ships (within Japan),1.9457
Toyama,Other,1.1118
Toyama,Only by walking,0
Ishikawa,Airplane (within Japan),5.0453
Ishikawa,Shinkansen,62.9942
Ishikawa,Railway/monorail,71.4969
Ishikawa,Chartered buses,30.1825
Ishikawa,Long-distance buses,16.8145
Ishikawa,Suburban buses,36.9614
Ishikawa,Taxies/limousine hires,29.4401
Ishikawa,Car rental,8.7521
Ishikawa,Bicycle rental,3.8354
Ishikawa,Ships (within Japan),7.8055
Ishikawa,Other,0.834
Ishikawa,Only by walking,0
Fukui,Airplane (within Japan),4.445
Fukui,Shinkansen,50.7162
Fukui,Railway/monorail,66.4027
Fukui,Chartered buses,22.0119
Fukui,Long-distance buses,20.2584
Fukui,Suburban buses,31.6641
Fukui,Taxies/limousine hires,22.2821
Fukui,Car rental,24.0927
Fukui,Bicycle rental,7.5725
Fukui,Ships (within Japan),7.0288
Fukui,Other,2.2909
Fukui,Only by walking,0
Yamanashi,Airplane (within Japan),3.0169
Yamanashi,Shinkansen,34.2731
Yamanashi,Railway/monorail,73.2567
Yamanashi,Chartered buses,29.2065
Yamanashi,Long-distance buses,20.2384
Yamanashi,Suburban buses,21.9173
Yamanashi,Taxies/limousine hires,23.7604
Yamanashi,Car rental,9.4116
Yamanashi,Bicycle rental,2.8985
Yamanashi,Ships (within Japan),2.1611
Yamanashi,Other,1.1578
Yamanashi,Only by walking,0.0252
Nagano,Airplane (within Japan),4.2647
Nagano,Shinkansen,54.3465
Nagano,Railway/monorail,73.871
Nagano,Chartered buses,25.101
Nagano,Long-distance buses,17.5791
Nagano,Suburban buses,27.9885
Nagano,Taxies/limousine hires,25.2092
Nagano,Car rental,14.7484
Nagano,Bicycle rental,3.4624
Nagano,Ships (within Japan),3.8619
Nagano,Other,1.4427
Nagano,Only by walking,0
Gifu,Airplane (within Japan),3.2607
Gifu,Shinkansen,39.614
Gifu,Railway/monorail,64.9559
Gifu,Chartered buses,33.7949
Gifu,Long-distance buses,21.8142
Gifu,Suburban buses,25.9323
Gifu,Taxies/limousine hires,20.6131
Gifu,Car rental,13.8233
Gifu,Bicycle rental,2.1013
Gifu,Ships (within Japan),4.6435
Gifu,Other,0.8864
Gifu,Only by walking,0
