Area of Visit,Nationality,Percentage
Hokkaido,Total,7.3059
Hokkaido,South Korea,9.8724
Hokkaido,Taiwan,9.6132
Hokkaido,Hong Kong,6.0416
Hokkaido,China,4.6338
Hokkaido,Thailand,11.0611
Hokkaido,Singapore,9.1584
Hokkaido,Malaysia,12.325
Hokkaido,Indonesia,3.6764
Hokkaido,Philippines,2.7703
Hokkaido,Vietnam,1.1774
Hokkaido,India,3.8
Hokkaido,UK,5.2144
Hokkaido,Germany,3.7347
Hokkaido,France,2.5237
Hokkaido,Italy,2.9786
Hokkaido,Spain,0.3223
Hokkaido,Russia,5.5281
Hokkaido,United States,4.3799
Hokkaido,Canada,3.9134
Hokkaido,Australia,9.0479
Hokkaido,Other,3.9552
Aomori,Total,0.683
Aomori,South Korea,0.1607
Aomori,Taiwan,1.5484
Aomori,Hong Kong,0.8064
Aomori,China,0.3355
Aomori,Thailand,0.5904
Aomori,Singapore,0.5955
Aomori,Malaysia,0.7348
Aomori,Indonesia,0.1505
Aomori,Philippines,0.1039
Aomori,Vietnam,0
Aomori,India,0.4075
Aomori,UK,1.3742
Aomori,Germany,0.6711
Aomori,France,1.275
Aomori,Italy,0.3608
Aomori,Spain,0.1725
Aomori,Russia,0
Aomori,United States,0.9261
Aomori,Canada,0.6687
Aomori,Australia,2.0178
Aomori,Other,0.6344
Iwate,Total,0.4655
Iwate,South Korea,0.0274
Iwate,Taiwan,1.8485
Iwate,Hong Kong,0.3243
Iwate,China,0.0584
Iwate,Thailand,0.1847
Iwate,Singapore,0.2432
Iwate,Malaysia,0.3754
Iwate,Indonesia,0.2604
Iwate,Philippines,0
Iwate,Vietnam,0
Iwate,India,0
Iwate,UK,0.3139
Iwate,Germany,0.6294
Iwate,France,0.3826
Iwate,Italy,0
Iwate,Spain,0.1784
Iwate,Russia,0
Iwate,United States,0.245
Iwate,Canada,0.2779
Iwate,Australia,0.5078
Iwate,Other,0.4423
Miyagi,Total,1.159
Miyagi,South Korea,0.1731
Miyagi,Taiwan,3.7174
Miyagi,Hong Kong,0.9416
Miyagi,China,0.4971
Miyagi,Thailand,0.8776
Miyagi,Singapore,0.6365
Miyagi,Malaysia,1.5772
Miyagi,Indonesia,0.191
Miyagi,Philippines,0.1111
Miyagi,Vietnam,0.1352
