Area of Visit,Places to Shop,Percentage
Hokkaido,Department stores,53.5815
Hokkaido,Consumer electronics stores,10.7708
Hokkaido,Fashion boutiques,16.4663
Hokkaido,100 Yen Shops,10.5968
Hokkaido,Service areas on expressways/Michi-no-eki (Road Stations),10.7612
Hokkaido,Tourist souvenir shops,44.0608
Hokkaido,Accomodation facilities,8.7508
Hokkaido,Supermarkets,39.5661
Hokkaido,Convenience stores,71.9788
Hokkaido,Drugstores,56.0285
Hokkaido,Discount stores,17.5703
Hokkaido,Outlet malls,13.5988
Hokkaido,Commercial complexes in urban centers,19.7148
Hokkaido,Other shopping centers,9.0619
Hokkaido,Railway station boutiques,6.7339
Hokkaido,Airport duty-free stores,58.9344
Hokkaido,Stores at a port of call by cruise ship,0.7624
Hokkaido,Other,1.495
Hokkaido,I did not go shopping.,0.8755
Aomori,Department stores,49.7037
Aomori,Consumer electronics stores,15.2616
Aomori,Fashion boutiques,23.0264
Aomori,100 Yen Shops,16.5678
Aomori,Service areas on expressways/Michi-no-eki (Road Stations),14.5902
Aomori,Tourist souvenir shops,53.3243
Aomori,Accomodation facilities,9.5792
Aomori,Supermarkets,60.4985
Aomori,Convenience stores,81.0592
Aomori,Drugstores,66.1687
Aomori,Discount stores,15.3671
Aomori,Outlet malls,18.2015
Aomori,Commercial complexes in urban centers,18.2904
Aomori,Other shopping centers,12.0691
Aomori,Railway station boutiques,17.7966
Aomori,Airport duty-free stores,59.7125
Aomori,Stores at a port of call by cruise ship,3.7152
Aomori,Other,3.2605
Aomori,I did not go shopping.,1.1714
Iwate,Department stores,45.3353
Iwate,Consumer electronics stores,15.614
Iwate,Fashion boutiques,18.6241
Iwate,100 Yen Shops,15.0407
Iwate,Service areas on expressways/Michi-no-eki (Road Stations),28.2654
Iwate,Tourist souvenir shops,53.8033
Iwate,Accomodation facilities,14.589
Iwate,Supermarkets,69.671
Iwate,Convenience stores,79.5306
Iwate,Drugstores,70.7688
Iwate,Discount stores,16.9789
Iwate,Outlet malls,24.8292
Iwate,Commercial complexes in urban centers,23.6368
Iwate,Other shopping centers,11.8651
Iwate,Railway station boutiques,17.7288
Iwate,Airport duty-free stores,66.5287
Iwate,Stores at a port of call by cruise ship,1.1502
Iwate,Other,2.2077
