Area of Visit,Port of Departure,Percentage
Hokkaido,New Chitose,74.7068
Hokkaido,Hakodate,3.6174
Hokkaido,Aomori,0.0097
Hokkaido,Sendai,0.2571
Hokkaido,Ibaraki,0.0128
Hokkaido,Haneda,7.8511
Hokkaido,Narita,10.3402
Hokkaido,Komatsu,0
Hokkaido,Toyama,0
Hokkaido,Mt.Fuji Shizuoka,0.007
Hokkaido,Chubu,0.5049
Hokkaido,Kansai,2.2821
Hokkaido,Yonago,0
Hokkaido,Okayama,0.0212
Hokkaido,Hiroshima,0.0172
Hokkaido,Sakai Port,0
Hokkaido,Kanmon (Shimonoseki) Port,0
Hokkaido,Takamatsu,0.0095
Hokkaido,Fukuoka,0.3332
Hokkaido,Hakata Port,0.0104
Hokkaido,Saga,0
Hokkaido,Izuhara Port,0
Hokkaido,Miyazaki,0
Hokkaido,Kagoshima,0
Hokkaido,Naha,0.0194
Hokkaido,Other,0
Aomori,New Chitose,4.5677
Aomori,Hakodate,0.3522
Aomori,Aomori,4.3388
Aomori,Sendai,25.7391
Aomori,Ibaraki,0.1053
Aomori,Haneda,23.9127
Aomori,Narita,37.0403
Aomori,Komatsu,0
Aomori,Toyama,0
Aomori,Mt.Fuji Shizuoka,0
Aomori,Chubu,0.1946
Aomori,Kansai,2.8173
Aomori,Yonago,0
Aomori,Okayama,0
Aomori,Hiroshima,0
Aomori,Sakai Port,0
Aomori,Kanmon (Shimonoseki) Port,0
Aomori,Takamatsu,0
Aomori,Fukuoka,0.932
Aomori,Hakata Port,0
Aomori,Saga,0
Aomori,Izuhara Port,0
Aomori,Miyazaki,0
Aomori,Kagoshima,0
Aomori,Naha,0
Aomori,Other,0
Iwate,New Chitose,1.6354
Iwate,Hakodate,0
Iwate,Aomori,0
Iwate,Sendai,55.8357
Iwate,Ibaraki,0.1154
Iwate,Haneda,12.4012
Iwate,Narita,28.7725
Iwate,Komatsu,0
Iwate,Toyama,0.0407
Iwate,Mt.Fuji Shizuoka,0
Iwate,Chubu,0.2855
Iwate,Kansai,0.5753
Iwate,Yonago,0
Iwate,Okayama,0
Iwate,Hiroshima,0
Iwate,Sakai Port,0
Iwate,Kanmon (Shimonoseki) Port,0
Iwate,Takamatsu,0
Iwate,Fukuoka,0.1747
Iwate,Hakata Port,0.1635
Iwate,Saga,0
Iwate,Izuhara Port,0
Iwate,Miyazaki,0
Iwate,Kagoshima,0
Iwate,Naha,0
Iwate,Other,0
Miyagi,New Chitose,2.2842
Miyagi,Hakodate,0
Miyagi,Aomori,0
Miyagi,Sendai,46.1777
Miyagi,Ibaraki,0.3014
Miyagi,Haneda,15.2771
Miyagi,Narita,33.2761
Miyagi,Komatsu,0
Miyagi,Toyama,0
Miyagi,Mt.Fuji Shizuoka,0
Miyagi,Chubu,0.5906
Miyagi,Kansai,1.4563
Miyagi,Yonago,0
Miyagi,Okayama,0.0765
Miyagi,Hiroshima,0.0477
Miyagi,Sakai Port,0
Miyagi,Kanmon (Shimonoseki) Port,0
Miyagi,Takamatsu,0.0598
Miyagi,Fukuoka,0.3868
Miyagi,Hakata Port,0.0657
Miyagi,Saga,0
Miyagi,Izuhara Port,0
Miyagi,Miyazaki,0
Miyagi,Kagoshima,0
Miyagi,Naha,0
Miyagi,Other,0
Akita,New Chitose,1.1723
Akita,Hakodate,0
