Area of Visit,Port of Entry,Percentage
Hokkaido,New Chitose,73.7831
Hokkaido,Hakodate,4.2233
Hokkaido,Aomori,0.0554
Hokkaido,Sendai,0.3001
Hokkaido,Ibaraki,0.0064
Hokkaido,Haneda,7.2474
Hokkaido,Narita,9.8526
Hokkaido,Komatsu,0
Hokkaido,Toyama,0
Hokkaido,Mt.Fuji Shizuoka,0
Hokkaido,Chubu,0.3379
Hokkaido,Kansai,2.8894
Hokkaido,Yonago,0
Hokkaido,Okayama,0.0137
Hokkaido,Hiroshima,0.0051
Hokkaido,Sakai Port,0
Hokkaido,Kanmon (Shimonoseki) Port,0
Hokkaido,Takamatsu,0
Hokkaido,Fukuoka,0.6346
Hokkaido,Hakata Port,0.0194
Hokkaido,Saga,0.0251
Hokkaido,Izuhara Port,0
Hokkaido,Miyazaki,0
Hokkaido,Kagoshima,0
Hokkaido,Naha,0.0375
Hokkaido,Other,0.5691
Aomori,New Chitose,5.4415
Aomori,Hakodate,0.9696
Aomori,Aomori,5.3029
Aomori,Sendai,25.8312
Aomori,Ibaraki,0.0452
Aomori,Haneda,22.8953
Aomori,Narita,34.3972
Aomori,Komatsu,0
Aomori,Toyama,0
Aomori,Mt.Fuji Shizuoka,0
Aomori,Chubu,0
Aomori,Kansai,2.3194
Aomori,Yonago,0
Aomori,Okayama,0
Aomori,Hiroshima,0
Aomori,Sakai Port,0
Aomori,Kanmon (Shimonoseki) Port,0
Aomori,Takamatsu,0
Aomori,Fukuoka,0.399
Aomori,Hakata Port,0
Aomori,Saga,0
Aomori,Izuhara Port,0
Aomori,Miyazaki,0
Aomori,Kagoshima,0
Aomori,Naha,0
Aomori,Other,2.3986
Iwate,New Chitose,2.7766
Iwate,Hakodate,0.2188
Iwate,Aomori,0
Iwate,Sendai,49.6926
Iwate,Ibaraki,0.0604
Iwate,Haneda,10.8974
Iwate,Narita,27.6569
Iwate,Komatsu,0
Iwate,Toyama,0
Iwate,Mt.Fuji Shizuoka,0
Iwate,Chubu,0
Iwate,Kansai,1.0281
Iwate,Yonago,0
Iwate,Okayama,0
Iwate,Hiroshima,0
Iwate,Sakai Port,0
Iwate,Kanmon (Shimonoseki) Port,0
Iwate,Takamatsu,0
Iwate,Fukuoka,0.4747
Iwate,Hakata Port,0.1635
Iwate,Saga,0
Iwate,Izuhara Port,0
Iwate,Miyazaki,0
Iwate,Kagoshima,0
Iwate,Naha,0
Iwate,Other,7.0311
Miyagi,New Chitose,2.0665
Miyagi,Hakodate,0.3637
Miyagi,Aomori,0.3264
Miyagi,Sendai,44.2992
Miyagi,Ibaraki,0.2446
Miyagi,Haneda,15.0042
Miyagi,Narita,31.1162
Miyagi,Komatsu,0
Miyagi,Toyama,0
Miyagi,Mt.Fuji Shizuoka,0
Miyagi,Chubu,0.2283
Miyagi,Kansai,1.4129
Miyagi,Yonago,0
Miyagi,Okayama,0
Miyagi,Hiroshima,0
Miyagi,Sakai Port,0
Miyagi,Kanmon (Shimonoseki) Port,0
Miyagi,Takamatsu,0
Miyagi,Fukuoka,0.7183
Miyagi,Hakata Port,0.0568
Miyagi,Saga,0
Miyagi,Izuhara Port,0
Miyagi,Miyazaki,0
Miyagi,Kagoshima,0
Miyagi,Naha,0.034
Miyagi,Other,4.1288
Akita,New Chitose,1.8326
Akita,Hakodate,0.5474
Akita,Aomori,0.5451
Akita,Sendai,41.6911
Akita,Ibaraki,0.0759
Akita,Haneda,17.8339
Akita,Narita,27.7232
Akita,Komatsu,0
Akita,Toyama,0
Akita,Mt.Fuji Shizuoka,0
Akita,Chubu,0.4662
Akita,Kansai,3.355
Akita,Yonago,0
Akita,Okayama,0
Akita,Hiroshima,0
Akita,Sakai Port,0
Akita,Kanmon (Shimonoseki) Port,0
Akita,Takamatsu,0
Akita,Fukuoka,0.3739
Akita,Hakata Port,0
Akita,Saga,0
Akita,Izuhara Port,0
Akita,Miyazaki,0
Akita,Kagoshima,0
Akita,Naha,0
Akita,Other,5.5557
Yamagata,New Chitose,0.1688
Yamagata,Hakodate,0.1365
Yamagata,Aomori,0
Yamagata,Sendai,44.5089
Yamagata,Ibaraki,0.5309
Yamagata,Haneda,10.8512
Yamagata,Narita,36.3772
Yamagata,Komatsu,0
Yamagata,Toyama,0
Yamagata,Mt.Fuji Shizuoka,0
Yamagata,Chubu,0.185
Yamagata,Kansai,1.2084
Yamagata,Yonago,0
Yamagata,Okayama,0
Yamagata,Hiroshima,0
Yamagata,Sakai Port,0
Yamagata,Kanmon (Shimonoseki) Port,0
Yamagata,Takamatsu,0
Yamagata,Fukuoka,0.1276
Yamagata,Hakata Port,0
Yamagata,Saga,0
Yamagata,Izuhara Port,0
Yamagata,Miyazaki,0
Yamagata,Kagoshima,0
Yamagata,Naha,0
Yamagata,Other,5.9055
Fukushima,New Chitose,0.5399
Fukushima,Hakodate,0
Fukushima,Aomori,0
Fukushima,Sendai,22.9605
Fukushima,Ibaraki,2.3144
Fukushima,Haneda,13.2439
Fukushima,Narita,54.2557
Fukushima,Komatsu,0.2641
Fukushima,Toyama,0
Fukushima,Mt.Fuji Shizuoka,0
Fukushima,Chubu,0.5767
Fukushima,Kansai,1.3968
Fukushima,Yonago,0
Fukushima,Okayama,0
Fukushima,Hiroshima,0
Fukushima,Sakai Port,0
Fukushima,Kanmon (Shimonoseki) Port,0
Fukushima,Takamatsu,0
Fukushima,Fukuoka,0.2825
Fukushima,Hakata Port,0
Fukushima,Saga,0
Fukushima,Izuhara Port,0
Fukushima,Miyazaki,0
Fukushima,Kagoshima,0
Fukushima,Naha,0
Fukushima,Other,4.1655
Ibaraki,New Chitose,0.4361
Ibaraki,Hakodate,0
Ibaraki,Aomori,0
Ibaraki,Sendai,0.2996
Ibaraki,Ibaraki,15.0994
Ibaraki,Haneda,19.3085
Ibaraki,Narita,62.6511
Ibaraki,Komatsu,0
Ibaraki,Toyama,0
Ibaraki,Mt.Fuji Shizuoka,0
Ibaraki,Chubu,0.2907
Ibaraki,Kansai,1.7458
Ibaraki,Yonago,0
Ibaraki,Okayama,0
Ibaraki,Hiroshima,0
Ibaraki,Sakai Port,0
Ibaraki,Kanmon (Shimonoseki) Port,0
Ibaraki,Takamatsu,0
Ibaraki,Fukuoka,0.0478
Ibaraki,Hakata Port,0
Ibaraki,Saga,0
Ibaraki,Izuhara Port,0
Ibaraki,Miyazaki,0
Ibaraki,Kagoshima,0
Ibaraki,Naha,0
Ibaraki,Other,0.1209
Tochigi,New Chitose,0.5463
Tochigi,Hakodate,0
Tochigi,Aomori,0
Tochigi,Sendai,0.4957
Tochigi,Ibaraki,1.2305
Tochigi,Haneda,33.1705
Tochigi,Narita,58.6899
Tochigi,Komatsu,0
Tochigi,Toyama,0
Tochigi,Mt.Fuji Shizuoka,0.0045
Tochigi,Chubu,0.3314
Tochigi,Kansai,4.4237
Tochigi,Yonago,0
Tochigi,Okayama,0
Tochigi,Hiroshima,0
Tochigi,Sakai Port,0
Tochigi,Kanmon (Shimonoseki) Port,0
Tochigi,Takamatsu,0
Tochigi,Fukuoka,0.7577
Tochigi,Hakata Port,0.2047
Tochigi,Saga,0
Tochigi,Izuhara Port,0
Tochigi,Miyazaki,0
Tochigi,Kagoshima,0
Tochigi,Naha,0.0335
Tochigi,Other,0.1116
Gunma,New Chitose,0
Gunma,Hakodate,0.1711
Gunma,Aomori,0
Gunma,Sendai,0
Gunma,Ibaraki,0.46
Gunma,Haneda,27.545
Gunma,Narita,64.2086
Gunma,Komatsu,0.1085
Gunma,Toyama,0
Gunma,Mt.Fuji Shizuoka,0
Gunma,Chubu,0.4146
Gunma,Kansai,6.7319
Gunma,Yonago,0
Gunma,Okayama,0
Gunma,Hiroshima,0
Gunma,Sakai Port,0
Gunma,Kanmon (Shimonoseki) Port,0
Gunma,Takamatsu,0
Gunma,Fukuoka,0.1412
Gunma,Hakata Port,0
Gunma,Saga,0
Gunma,Izuhara Port,0
Gunma,Miyazaki,0
Gunma,Kagoshima,0
Gunma,Naha,0
Gunma,Other,0.2192
Saitama,New Chitose,0.5045
Saitama,Hakodate,0
Saitama,Aomori,0
Saitama,Sendai,0
Saitama,Ibaraki,0.0613
Saitama,Haneda,23.6937
Saitama,Narita,71.7014
Saitama,Komatsu,0
Saitama,Toyama,0
Saitama,Mt.Fuji Shizuoka,0
Saitama,Chubu,0.4149
Saitama,Kansai,3.3284
Saitama,Yonago,0
Saitama,Okayama,0
Saitama,Hiroshima,0
Saitama,Sakai Port,0
Saitama,Kanmon (Shimonoseki) Port,0
Saitama,Takamatsu,0
Saitama,Fukuoka,0.2596
Saitama,Hakata Port,0
Saitama,Saga,0
Saitama,Izuhara Port,0
Saitama,Miyazaki,0
Saitama,Kagoshima,0
Saitama,Naha,0
