,New Chitose,Hakodate,Aomori,Sendai,Ibaraki,Haneda,Narita,Komatsu,Toyama,Mt.Fuji Shizuoka,Chubu,Kansai,Yonago,Okayama,Hiroshima,Sakai Port,Kanmon (Shimonoseki) Port,Takamatsu,Fukuoka,Hakata Port,Saga,Izuhara Port,Miyazaki,Kagoshima,Naha,Other
Hokkaido,74.7,3.6,0.0,0.3,0.0,7.9,10.3,0.0,0.0,0.0,0.5,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aomori,4.6,0.4,4.3,25.7,0.1,23.9,37.0,0.0,0.0,0.0,0.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iwate,1.6,0.0,0.0,55.8,0.1,12.4,28.8,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Miyagi,2.3,0.0,0.0,46.2,0.3,15.3,33.3,0.0,0.0,0.0,0.6,1.5,0.0,0.1,0.0,0.0,0.0,0.1,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Akita,1.2,0.0,0.1,43.6,0.2,16.1,34.4,0.0,0.0,0.0,0.5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yamagata,0.1,0.0,0.0,50.5,0.5,10.3,36.6,0.0,0.0,0.1,0.4,1.3,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fukushima,0.4,0.0,0.0,24.7,3.1,14.8,55.6,0.3,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibaraki,0.3,0.0,0.0,0.0,19.4,20.5,58.3,0.0,0.0,0.0,0.7,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tochigi,0.2,0.0,0.0,0.2,1.4,31.1,58.4,0.1,0.0,0.0,0.2,8.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gunma,0.4,0.0,0.0,0.0,0.5,26.9,68.8,0.1,0.0,0.0,0.1,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saitama,0.2,0.0,0.0,0.0,0.1,24.5,71.8,0.0,0.0,0.0,0.1,3.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chiba,0.2,0.0,0.0,0.1,0.1,7.5,82.1,0.0,0.0,0.1,0.5,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,0.3,0.0,0.0,0.1,0.1,28.9,57.8,0.0,0.0,0.1,0.8,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Kanagawa,0.1,0.0,0.0,0.0,0.0,34.2,54.0,0.0,0.0,0.2,0.8,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niigata,0.2,0.0,0.0,4.1,0.3,32.8,55.6,0.4,0.0,0.3,2.3,2.7,0.0,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Toyama,0.1,0.0,0.0,0.0,0.0,9.6,21.0,12.8,2.0,0.0,47.4,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishikawa,0.1,0.0,0.0,0.0,0.0,25.5,26.7,9.0,0.8,0.0,20.6,16.9,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fukui,0.0,0.0,0.0,0.0,0.0,18.4,20.6,9.6,0.2,0.0,29.7,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yamanashi,0.0,0.0,0.0,0.0,0.1,25.4,60.8,0.0,0.0,0.5,1.4,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagano,0.1,0.0,0.0,0.0,0.0,23.6,50.0,1.4,0.0,0.1,16.0,8.2,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gifu,0.2,0.0,0.0,0.0,0.0,15.1,19.0,4.6,0.2,0.1,45.6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shizuoka,0.0,0.0,0.0,0.0,0.0,23.7,51.1,0.0,0.0,4.9,7.7,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aichi,0.2,0.0,0.0,0.0,0.0,8.9,16.5,2.3,0.0,0.2,53.1,18.3,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Mie,0.1,0.0,0.0,0.0,0.0,8.9,6.2,0.4,0.0,0.0,64.5,19.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shiga,0.0,0.0,0.0,0.0,0.0,5.6,8.1,1.0,0.0,0.0,7.8,77.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyoto,0.1,0.0,0.0,0.0,0.0,16.2,21.7,0.0,0.0,0.0,1.5,60.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Osaka,0.2,0.0,0.0,0.0,0.0,11.3,17.0,0.0,0.0,0.0,1.3,69.4,0.0,0.1,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Hyogo,0.1,0.0,0.0,0.0,0.0,9.6,14.1,0.0,0.0,0.0,0.7,73.9,0.0,0.7,0.1,0.0,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nara,0.0,0.0,0.0,0.0,0.0,17.1,30.8,0.0,0.0,0.1,1.5,50.3,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wakayama,0.1,0.0,0.0,0.0,0.0,14.4,16.9,0.0,0.0,0.0,1.6,66.2,0.0,0.1,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tottori,0.0,0.0,0.0,0.0,0.0,8.9,9.0,0.0,0.0,0.0,0.0,46.2,18.8,7.9,3.1,0.4,0.0,2.9,2.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Shimane,0.0,0.0,0.0,0.0,0.0,9.4,15.2,0.0,0.0,0.0,0.0,35.8,13.0,10.6,5.5,0.1,0.0,2.9,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Okayama,0.4,0.0,0.0,0.0,0.0,12.4,15.8,0.0,0.0,0.5,0.2,31.1,0.1,22.5,2.1,0.0,0.2,9.2,5.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Hiroshima,0.3,0.0,0.0,0.0,0.0,32.0,33.7,0.0,0.0,0.0,0.3,21.4,0.0,1.3,5.4,0.0,0.1,0.8,4.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Yamaguchi,0.0,0.0,0.0,0.0,0.0,6.1,5.8,0.0,0.0,0.0,0.0,2.3,0.0,0.4,2.2,0.0,35.6,0.0,46.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0
