,New Chitose,Hakodate,Aomori,Sendai,Ibaraki,Haneda,Narita,Komatsu,Toyama,Mt.Fuji Shizuoka,Chubu,Kansai,Yonago,Okayama,Hiroshima,Sakai Port,Kanmon (Shimonoseki) Port,Takamatsu,Fukuoka,Hakata Port,Saga,Izuhara Port,Miyazaki,Kagoshima,Naha,Other
Hokkaido,73.8,4.2,0.1,0.3,0.0,7.2,9.9,0.0,0.0,0.0,0.3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Aomori,5.4,1.0,5.3,25.8,0.0,22.9,34.4,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.4
Iwate,2.8,0.2,0.0,49.7,0.1,10.9,27.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,7.0
Miyagi,2.1,0.4,0.3,44.3,0.2,15.0,31.1,0.0,0.0,0.0,0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,4.1
Akita,1.8,0.5,0.5,41.7,0.1,17.8,27.7,0.0,0.0,0.0,0.5,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,5.6
Yamagata,0.2,0.1,0.0,44.5,0.5,10.9,36.4,0.0,0.0,0.0,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.9
Fukushima,0.5,0.0,0.0,23.0,2.3,13.2,54.3,0.3,0.0,0.0,0.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.2
Ibaraki,0.4,0.0,0.0,0.3,15.1,19.3,62.7,0.0,0.0,0.0,0.3,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Tochigi,0.5,0.0,0.0,0.5,1.2,33.2,58.7,0.0,0.0,0.0,0.3,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.1
Gunma,0.0,0.2,0.0,0.0,0.5,27.5,64.2,0.1,0.0,0.0,0.4,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2
