Area of Visit,Sex/Age,Percentage
Hokkaido,Male/0~19,1.2413
Hokkaido,Male/20~29,15.2368
Hokkaido,Male/30~39,17.2009
Hokkaido,Male/40~49,9.5952
Hokkaido,Male/50~59,5.8441
Hokkaido,Male/60~69,3.7395
Hokkaido,Male/70+,1.1143
Hokkaido,Female/0~19,0.8995
Hokkaido,Female/20~29,10.8501
Hokkaido,Female/30~39,13.2722
Hokkaido,Female/40~49,9.5865
Hokkaido,Female/50~59,7.0581
Hokkaido,Female/60~69,3.3981
Hokkaido,Female/70+,0.9636
Aomori,Male/0~19,0.756
Aomori,Male/20~29,10.7993
Aomori,Male/30~39,10.1425
Aomori,Male/40~49,9.1904
Aomori,Male/50~59,7.4818
Aomori,Male/60~69,8.0497
Aomori,Male/70+,0.985
Aomori,Female/0~19,0.7151
Aomori,Female/20~29,7.0337
Aomori,Female/30~39,13.1252
Aomori,Female/40~49,10.7531
Aomori,Female/50~59,10.5985
Aomori,Female/60~69,7.814
Aomori,Female/70+,2.5557
Iwate,Male/0~19,0.4085
Iwate,Male/20~29,5.9895
Iwate,Male/30~39,11.6082
Iwate,Male/40~49,11.854
Iwate,Male/50~59,9.1232
Iwate,Male/60~69,7.5468
Iwate,Male/70+,0.7398
Iwate,Female/0~19,0.6664
Iwate,Female/20~29,5.1492
Iwate,Female/30~39,11.3154
Iwate,Female/40~49,14.1445
Iwate,Female/50~59,14.0398
Iwate,Female/60~69,5.5723
Iwate,Female/70+,1.8425
Miyagi,Male/0~19,1.2829
Miyagi,Male/20~29,12.5411
Miyagi,Male/30~39,13.1118
Miyagi,Male/40~49,8.4987
Miyagi,Male/50~59,9.2845
Miyagi,Male/60~69,5.8405
Miyagi,Male/70+,0.8522
Miyagi,Female/0~19,0.5916
Miyagi,Female/20~29,8.0165
Miyagi,Female/30~39,12.5902
Miyagi,Female/40~49,13.2518
Miyagi,Female/50~59,9.4031
Miyagi,Female/60~69,3.7769
Miyagi,Female/70+,0.9581
Akita,Male/0~19,0.76
Akita,Male/20~29,12.4652
Akita,Male/30~39,10.7109
Akita,Male/40~49,10.3588
Akita,Male/50~59,8.1556
Akita,Male/60~69,8.64
Akita,Male/70+,2.5308
Akita,Female/0~19,1.174
Akita,Female/20~29,5.2132
Akita,Female/30~39,10.7307
Akita,Female/40~49,8.9911
Akita,Female/50~59,11.5232
Akita,Female/60~69,6.0484
Akita,Female/70+,2.6982
Yamagata,Male/0~19,0.6744
Yamagata,Male/20~29,9.147
Yamagata,Male/30~39,15.1308
Yamagata,Male/40~49,6.9718
Yamagata,Male/50~59,11.8695
Yamagata,Male/60~69,5.2648
Yamagata,Male/70+,1.2333
Yamagata,Female/0~19,0.623
Yamagata,Female/20~29,4.7516
Yamagata,Female/30~39,13.2796
Yamagata,Female/40~49,15.4469
Yamagata,Female/50~59,11.9546
Yamagata,Female/60~69,3.0728
Yamagata,Female/70+,0.58
Fukushima,Male/0~19,1.6299
Fukushima,Male/20~29,12.6545
Fukushima,Male/30~39,15.0812
Fukushima,Male/40~49,9.2253
Fukushima,Male/50~59,10.5118
Fukushima,Male/60~69,7.975
Fukushima,Male/70+,1.7945
Fukushima,Female/0~19,0.5822
Fukushima,Female/20~29,4.2734
Fukushima,Female/30~39,9.7879
Fukushima,Female/40~49,10.6048
Fukushima,Female/50~59,10.2242
Fukushima,Female/60~69,5.2891
Fukushima,Female/70+,0.3661
Ibaraki,Male/0~19,0.5773
Ibaraki,Male/20~29,11.2058
Ibaraki,Male/30~39,14.2626
Ibaraki,Male/40~49,8.3353
Ibaraki,Male/50~59,6.4527
Ibaraki,Male/60~69,6.2386
Ibaraki,Male/70+,1.2633
Ibaraki,Female/0~19,0.9511
Ibaraki,Female/20~29,7.4242
Ibaraki,Female/30~39,11.1004
Ibaraki,Female/40~49,12.2892
Ibaraki,Female/50~59,10.7826
Ibaraki,Female/60~69,8.5227
Ibaraki,Female/70+,0.5942
Tochigi,Male/0~19,1.0483
Tochigi,Male/20~29,14.2317
Tochigi,Male/30~39,16.745
Tochigi,Male/40~49,6.9252
Tochigi,Male/50~59,5.7294
Tochigi,Male/60~69,4.4779
Tochigi,Male/70+,1.0238
Tochigi,Female/0~19,0.9629
Tochigi,Female/20~29,11.9983
Tochigi,Female/30~39,14.3738
Tochigi,Female/40~49,8.4468
Tochigi,Female/50~59,7.3984
Tochigi,Female/60~69,4.9474
Tochigi,Female/70+,1.691
Gunma,Male/0~19,1.6754
Gunma,Male/20~29,14.9471
Gunma,Male/30~39,16.7385
Gunma,Male/40~49,5.2644
Gunma,Male/50~59,5.0392
Gunma,Male/60~69,2.3645
Gunma,Male/70+,1.3963
Gunma,Female/0~19,1.4043
Gunma,Female/20~29,10.0123
Gunma,Female/30~39,11.3395
Gunma,Female/40~49,9.2264
Gunma,Female/50~59,9.0197
Gunma,Female/60~69,9.1692
Gunma,Female/70+,2.4031
Saitama,Male/0~19,1.0664
Saitama,Male/20~29,15.0601
Saitama,Male/30~39,18.2253
Saitama,Male/40~49,9.2852
Saitama,Male/50~59,3.2274
Saitama,Male/60~69,1.898
Saitama,Male/70+,0.4407
Saitama,Female/0~19,0.8514
Saitama,Female/20~29,13.3527
