,Department stores,Consumer electronics stores,Fashion boutiques,100 Yen Shops,Service areas on expressways/Michi-no-eki (Road Stations),Tourist souvenir shops,Accomodation facilities,Supermarkets,Convenience stores,Drugstores,Discount stores,Outlet malls,Commercial complexes in urban centers,Other shopping centers,Railway station boutiques,Airport duty-free stores,Stores at a port of call by cruise ship,Other,I did not go shopping.
Hokkaido,53.6,10.8,16.5,10.6,10.8,44.1,8.8,39.6,72.0,56.0,17.6,13.6,19.7,9.1,6.7,58.9,0.8,1.5,0.9
Aomori,49.7,15.3,23.0,16.6,14.6,53.3,9.6,60.5,81.1,66.2,15.4,18.2,18.3,12.1,17.8,59.7,3.7,3.3,1.2
Iwate,45.3,15.6,18.6,15.0,28.3,53.8,14.6,69.7,79.5,70.8,17.0,24.8,23.6,11.9,17.7,66.5,1.2,2.2,0.0
Miyagi,53.3,18.7,21.1,15.7,16.8,48.0,10.1,66.3,82.4,70.2,17.5,19.2,24.2,14.1,24.6,65.5,2.0,2.4,0.4
Akita,46.6,13.5,22.8,10.3,27.3,56.7,8.5,70.7,81.6,69.3,15.5,22.6,20.0,8.8,17.4,70.4,3.9,2.4,0.1
Yamagata,48.5,15.5,16.6,14.2,23.6,51.1,12.1,71.6,84.9,76.8,16.8,23.0,23.6,13.3,21.7,70.1,1.7,1.5,0.5
Fukushima,49.5,19.2,18.6,12.2,23.2,55.0,10.2,67.1,84.4,63.5,17.6,17.9,16.4,16.2,18.4,60.0,1.3,5.4,0.3
Ibaraki,51.1,14.7,23.4,14.9,6.5,44.4,4.4,57.7,83.0,61.4,15.5,16.8,10.3,14.0,8.1,55.4,0.6,3.1,0.7
Tochigi,59.1,18.4,24.7,14.6,9.6,59.4,4.5,58.3,83.8,49.6,28.4,14.1,17.0,12.1,12.4,53.6,0.6,4.3,0.7
Gunma,56.3,18.1,33.9,18.2,11.1,53.5,4.1,59.5,88.7,57.7,25.0,22.1,15.6,15.4,13.6,59.5,0.2,5.5,0.8
Saitama,57.5,16.6,30.6,21.2,5.5,42.0,1.9,60.4,89.7,63.9,28.3,14.6,12.1,13.1,11.4,64.8,0.2,6.5,0.3
Chiba,61.2,16.3,30.0,14.9,4.1,43.0,3.9,50.7,88.2,54.2,29.7,13.4,14.7,13.6,10.4,62.3,0.5,4.0,0.3
Tokyo,63.0,17.5,31.7,14.8,3.8,44.6,3.8,50.5,87.5,53.1,27.8,13.0,16.3,13.1,10.8,57.6,0.5,3.8,0.4
Kanagawa,62.9,19.1,32.5,14.9,4.5,50.4,3.9,51.6,87.4,55.3,28.5,14.2,17.5,13.2,11.6,58.4,0.8,4.4,0.4
Niigata,56.8,16.8,27.9,15.6,10.0,45.3,4.7,60.4,88.3,60.8,18.8,15.9,11.2,10.1,12.7,59.6,0.8,2.9,0.7
Toyama,61.5,12.8,20.7,9.9,23.6,63.6,7.6,46.4,85.6,70.6,31.1,12.2,12.5,9.3,6.1,74.0,0.1,1.2,0.4
Ishikawa,63.5,16.8,29.2,13.7,12.4,68.0,5.6,53.9,85.1,54.1,29.0,11.9,19.5,11.6,14.0,52.4,0.5,3.5,0.3
Fukui,67.2,13.9,25.8,21.2,17.8,68.9,6.0,63.3,86.6,60.4,25.1,14.2,18.9,14.1,14.2,60.8,0.0,4.2,0.0
Yamanashi,63.3,17.8,31.7,12.3,8.4,55.2,4.7,53.6,86.3,59.1,28.5,17.9,17.1,13.9,9.7,65.2,0.4,3.3,0.2
Nagano,57.5,15.5,28.3,12.5,12.1,59.0,5.2,54.6,87.6,54.5,23.6,21.1,13.9,12.1,12.8,59.6,0.3,3.3,0.6
Gifu,59.0,15.3,25.9,12.8,16.6,63.7,5.7,49.5,84.8,59.5,29.2,12.7,17.5,10.2,10.7,65.9,0.3,2.6,0.4
Shizuoka,59.8,16.5,31.5,13.2,11.2,52.8,4.1,48.8,83.9,59.9,24.0,29.3,15.6,12.6,8.1,66.0,1.1,3.5,0.4
Aichi,60.6,16.8,23.4,13.4,14.4,53.6,6.3,46.3,86.7,67.1,28.7,13.2,18.3,11.7,8.6,74.4,0.3,2.4,0.2
Mie,63.6,16.6,26.9,17.1,17.9,53.1,5.8,48.6,87.2,68.9,33.1,42.8,19.6,8.7,7.5,77.3,0.4,1.6,0.2
Shiga,61.8,23.1,26.4,17.2,10.7,54.4,7.3,58.1,87.1,75.3,12.2,17.2,20.3,15.5,11.3,62.7,1.4,6.0,0.0
