Area of Visit,Travel Arrangement,Percentage
Hokkaido,Group tour,26.9795
Hokkaido,Package for individual travelers,4.7123
Hokkaido,Independent travel,68.3082
Aomori,Group tour,27.4284
Aomori,Package for individual travelers,4.7204
Aomori,Independent travel,67.8512
Iwate,Group tour,47.98
Iwate,Package for individual travelers,2.9662
Iwate,Independent travel,49.0538
Miyagi,Group tour,28.9168
Miyagi,Package for individual travelers,2.3558
Miyagi,Independent travel,68.7274
Akita,Group tour,38.9544
Akita,Package for individual travelers,5.2604
Akita,Independent travel,55.7852
Yamagata,Group tour,41.1823
Yamagata,Package for individual travelers,3.2582
Yamagata,Independent travel,55.5594
Fukushima,Group tour,39.6052
Fukushima,Package for individual travelers,3.4166
Fukushima,Independent travel,56.9782
Ibaraki,Group tour,26.0177
Ibaraki,Package for individual travelers,2.0585
Ibaraki,Independent travel,71.9238
Tochigi,Group tour,15.8333
Tochigi,Package for individual travelers,5.1369
Tochigi,Independent travel,79.0298
Gunma,Group tour,18.1316
Gunma,Package for individual travelers,4.2759
Gunma,Independent travel,77.5926
Saitama,Group tour,8.2514
Saitama,Package for individual travelers,2.2102
Saitama,Independent travel,89.5384
Chiba,Group tour,11.6454
Chiba,Package for individual travelers,3.6651
Chiba,Independent travel,84.6895
Tokyo,Group tour,9.6528
Tokyo,Package for individual travelers,3.5373
Tokyo,Independent travel,86.8099
Kanagawa,Group tour,11.3439
Kanagawa,Package for individual travelers,3.9445
Kanagawa,Independent travel,84.7116
Niigata,Group tour,8.3194
Niigata,Package for individual travelers,4.194
Niigata,Independent travel,87.4866
Toyama,Group tour,56.1105
Toyama,Package for individual travelers,1.1392
Toyama,Independent travel,42.7503
Ishikawa,Group tour,30.4882
Ishikawa,Package for individual travelers,5.0468
Ishikawa,Independent travel,64.4649
Fukui,Group tour,25.7827
Fukui,Package for individual travelers,2.9809
Fukui,Independent travel,71.2364
Yamanashi,Group tour,28.169
Yamanashi,Package for individual travelers,3.2868
Yamanashi,Independent travel,68.5443
Nagano,Group tour,22.774
Nagano,Package for individual travelers,4.1279
Nagano,Independent travel,73.0982
Gifu,Group tour,33.3984
Gifu,Package for individual travelers,5.3629
Gifu,Independent travel,61.2387
Shizuoka,Group tour,31.0065
Shizuoka,Package for individual travelers,3.5443
Shizuoka,Independent travel,65.4492
Aichi,Group tour,30.951
Aichi,Package for individual travelers,2.6068
Aichi,Independent travel,66.4422
Mie,Group tour,29.6125
Mie,Package for individual travelers,3.1066
Mie,Independent travel,67.2809
Shiga,Group tour,18.5208
Shiga,Package for individual travelers,1.5377
Shiga,Independent travel,79.9415
Kyoto,Group tour,13.5242
Kyoto,Package for individual travelers,3.2339
Kyoto,Independent travel,83.2419
Osaka,Group tour,12.3288
Osaka,Package for individual travelers,3.0205
Osaka,Independent travel,84.6508
Hyogo,Group tour,17.9721
Hyogo,Package for individual travelers,2.9997
Hyogo,Independent travel,79.0283
Nara,Group tour,21.5122
Nara,Package for individual travelers,3.2051
Nara,Independent travel,75.2827
Wakayama,Group tour,14.792
Wakayama,Package for individual travelers,3.9068
Wakayama,Independent travel,81.3012
Tottori,Group tour,14.8013
Tottori,Package for individual travelers,2.2289
Tottori,Independent travel,82.9698
Shimane,Group tour,22.9579
Shimane,Package for individual travelers,2.7094
Shimane,Independent travel,74.3326
Okayama,Group tour,13.674
Okayama,Package for individual travelers,3.2346
Okayama,Independent travel,83.0915
Hiroshima,Group tour,11.1665
Hiroshima,Package for individual travelers,4.8214
Hiroshima,Independent travel,84.0121
Yamaguchi,Group tour,8.2152
Yamaguchi,Package for individual travelers,2.781
Yamaguchi,Independent travel,89.0038
Tokushima,Group tour,20.7492
Tokushima,Package for individual travelers,1.2535
Tokushima,Independent travel,77.9973
Kagawa,Group tour,12.9262
