,1 time,2 times,3 times,4 times,5 times,6~9 times,10~19 times,20+ times
Hokkaido,17.8,17.9,15.1,10.4,10.0,14.0,10.0,4.8
Aomori,21.3,9.0,9.2,6.0,9.2,15.4,17.6,12.4
Iwate,11.9,8.9,7.9,4.9,9.8,18.6,25.5,12.4
Miyagi,14.1,10.8,9.0,7.0,9.8,15.9,19.9,13.4
Akita,14.8,9.5,7.7,6.0,9.7,20.3,21.1,11.0
Yamagata,9.1,8.4,10.8,7.7,12.3,18.6,19.7,13.3
Fukushima,18.5,12.4,7.5,9.7,8.8,15.9,17.2,10.0
Ibaraki,21.6,11.6,8.2,5.5,6.9,15.3,16.1,14.6
Tochigi,42.4,13.3,10.3,5.6,6.6,9.2,7.8,4.9
Gunma,27.8,12.9,9.2,7.7,5.9,12.7,13.3,10.4
Saitama,25.7,14.7,12.1,9.6,7.2,11.8,12.2,6.6
Chiba,43.9,16.8,10.1,6.8,5.6,7.4,6.1,3.4
Tokyo,47.3,16.3,9.1,5.9,5.1,6.8,5.9,3.6
Kanagawa,49.3,15.1,8.7,5.4,5.1,6.7,6.0,3.6
Niigata,19.6,12.1,8.7,10.6,7.6,14.3,15.9,11.2
Toyama,19.7,13.8,12.8,8.0,11.8,14.9,12.9,6.1
Ishikawa,48.7,13.9,8.3,6.1,6.2,7.6,6.5,2.8
Fukui,26.9,12.0,6.4,5.9,9.2,14.2,16.3,9.3
Yamanashi,53.7,16.1,8.3,4.8,4.4,5.6,4.5,2.6
Nagano,36.5,13.1,8.4,7.0,7.2,10.8,11.1,5.8
Gifu,35.7,12.9,10.3,7.0,8.7,10.3,10.4,4.7
Shizuoka,43.3,15.9,8.1,5.2,5.6,8.6,7.3,5.9
Aichi,31.7,13.4,10.5,7.4,8.8,11.0,11.4,5.7
Mie,16.8,13.3,10.2,8.7,10.8,13.5,18.8,7.9
Shiga,25.2,12.4,14.6,7.7,6.6,12.3,12.5,8.7
Kyoto,52.8,16.6,9.0,5.4,4.2,5.6,4.3,2.1
Osaka,45.8,17.5,9.7,6.4,5.0,6.9,5.7,3.0
Hyogo,36.5,17.4,11.0,7.6,6.2,8.7,8.3,4.3
Nara,60.1,16.5,7.3,4.0,3.0,4.5,3.0,1.6
Wakayama,41.2,12.7,10.0,5.5,5.8,8.9,10.9,5.0
Tottori,14.9,7.0,8.9,7.9,9.0,13.9,24.0,14.4
Shimane,10.9,10.0,4.8,6.1,11.8,16.3,22.9,17.2
Okayama,27.9,11.1,5.6,6.0,7.2,16.0,16.7,9.6
Hiroshima,66.5,11.7,5.1,2.7,3.0,4.6,3.7,2.8
Yamaguchi,12.9,12.7,7.6,9.4,14.8,11.9,18.1,12.7
Tokushima,13.0,9.4,7.9,4.2,6.0,15.0,31.7,12.8
Kagawa,21.0,8.1,7.3,7.6,8.2,15.9,20.8,11.1
Ehime,22.3,10.5,6.7,6.9,9.3,14.9,21.3,7.9
Kochi,26.6,6.8,6.1,3.7,7.1,14.7,26.0,9.0
Fukuoka,16.0,16.2,13.6,10.8,9.9,13.2,13.0,7.2
Saga,11.0,8.4,13.4,8.9,9.5,15.7,20.5,12.6
Nagasaki,22.8,13.1,10.5,7.8,8.1,15.1,15.1,7.6
Kumamoto,15.4,12.7,12.9,9.8,11.0,16.5,14.9,6.7
Oita,17.6,16.7,14.0,11.7,10.3,13.5,11.6,4.7
Miyazaki,12.9,8.7,10.0,7.4,12.2,20.3,17.5,11.0
Kagoshima,16.5,10.9,9.3,8.3,10.3,15.0,16.2,13.5
Okinawa,19.5,20.5,13.7,10.1,9.1,12.6,10.4,4.1
Hokkaido Region,17.8,17.9,15.1,10.4,10.0,14.0,10.0,4.8
Tohoku Region,19.6,10.5,9.3,7.1,8.9,15.0,17.2,12.4
Kanto Region,47.0,16.2,9.1,6.0,5.2,6.9,5.9,3.8
Hokuriku-Shin'etsu Region,39.2,13.2,8.9,6.9,6.8,10.0,9.7,5.3
Chubu Region,39.1,14.1,9.5,6.2,7.1,9.2,9.4,5.3
Kinki Region,47.1,17.3,9.5,6.2,4.8,6.7,5.5,2.9
Chugoku Region,55.0,11.8,5.4,4.1,4.6,7.0,7.4,4.9
Shikoku Region,25.3,9.6,7.8,7.1,7.4,13.9,18.8,10.2
Kyushu Region,16.8,15.9,13.4,10.5,9.8,13.1,13.0,7.4
Okinawa Region,19.5,20.5,13.7,10.1,9.1,12.6,10.4,4.1
